match_id,draw_code,draw_label,round_number,round_label,status,status_label,court_name,date_schedule,duration_minutes,is_night_session,score,starting_at,player_a_id,player_a_name,player_a_ranking,player_a_country,player_a_seed,player_a_entry_status,player_a_winner,player_a_sets_won,player_b_id,player_b_name,player_b_ranking,player_b_country,player_b_seed,player_b_entry_status,player_b_winner,player_b_sets_won
SM064,SM,Men's Singles,1,First Round,FINISHED,Completed,Court Philippe-Chatrier,20260526,128,True,"6-1, 6-3, 6-4",,39723,J.SINNER,1,ITA,1,,True,3,40451,C.TABUR,171,FRA,,W,False,3
SM065,SM,Men's Singles,1,First Round,FINISHED,Completed,Court 8,20260526,174,False,"2-6, 6-7(0), 6-7(7)",,43003,J.FEARNLEY,125,GBR,,,False,3,40999,JM.CERUNDOLO,56,ARG,,,True,3
SM066,SM,Men's Singles,1,First Round,FINISHED,Completed,Court 9,20260526,270,False,"6-3, 4-6, 6-2, 6-7(3), 6-4",,48028,M.LANDALUCE,69,ESP,,,True,5,47929,JC.PRADO ANGELO,176,BOL,,Q,False,5
SM067,SM,Men's Singles,1,First Round,FINISHED,Completed,Court Simonne-Mathieu,20260526,260,False,"6-3, 5-7, 6-4, 3-6, 6-3",,36324,V.KOPRIVA,66,CZE,,,True,5,36358,C.MOUTET,34,FRA,30,,False,5
SM068,SM,Men's Singles,1,First Round,FINISHED,Completed,Court Suzanne-Lenglen,20260525,146,False,"7-6(7), 6-2, 6-3",,29969,A.RINDERKNECH,25,FRA,22,,True,3,36384,J.RODIONOV,158,AUT,,Q,False,3
SM069,SM,Men's Singles,1,First Round,FINISHED,Completed,Court 13,20260525,189,False,"7-6(7), 5-7, 1-6, 2-6",,22454,M.FUCSOVICS,65,HUN,,,False,4,29046,M.BERRETTINI,105,ITA,,,True,4
SM070,SM,Men's Singles,1,First Round,FINISHED,Completed,Court 12,20260526,164,False,"4-6, 6-7(8), 6-7(4)",,48134,E.QUINN,50,USA,,,False,3,42330,F.COMESANA,102,ARG,,,True,3
SM071,SM,Men's Singles,1,First Round,FINISHED,Completed,Court 7,20260526,139,False,"6-7(5), 2-6, 3-6",,32390,S.OFNER,112,AUT,,,False,3,45420,L.DARDERI,17,ITA,14,,True,3
SM072,SM,Men's Singles,1,First Round,FINISHED,Completed,Court 14,20260526,190,False,"5-7, 7-6(8), 4-6, 5-7",,29098,A.BUBLIK,10,KAZ,9,,False,4,23386,JL.STRUFF,80,GER,,,True,4
SM073,SM,Men's Singles,1,First Round,FINISHED,Completed,Court 6,20260526,151,False,"6-4, 7-5, 6-4",,47931,J.FARIA,115,POR,,Q,True,3,35246,D.SHAPOVALOV,39,CAN,,,False,3
SM074,SM,Men's Singles,1,First Round,FINISHED,Completed,Court 8,20260525,183,False,"3-6, 3-6, 6-2, 3-6",,33529,J.MUNAR,41,ESP,,,False,4,31976,H.HURKACZ,99,POL,,,True,4
